"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 10:46:06 UTC 2025","Fri Jul 11 10:46:07 UTC 2025","206","","com.restassuredapi.tests.photos.GetPhotosTest","","com.restassuredapi.tests.photos.GetPhotosTest","getPhotoById_shouldReturnValidPhoto","get photo by id","/"
"passed","Fri Jul 11 10:46:11 UTC 2025","Fri Jul 11 10:46:11 UTC 2025","161","","com.restassuredapi.tests.posts.UpdatePostTest","","com.restassuredapi.tests.posts.UpdatePostTest","updatePost_withoutId_shouldReturn404","update post without id","/"
"passed","Fri Jul 11 10:46:05 UTC 2025","Fri Jul 11 10:46:06 UTC 2025","192","","com.restassuredapi.tests.photos.UpdatePhotoTest","","com.restassuredapi.tests.photos.UpdatePhotoTest","updatePhoto_withMissingTitle_shouldReturn200DespiteMissingField","update photo with missing title","/"
"passed","Fri Jul 11 10:46:13 UTC 2025","Fri Jul 11 10:46:13 UTC 2025","105","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldMatchSchema","create post should match schema [2] Post{userId=2, id=0, title='Second test post', body='Another body content here'}","/"
"passed","Fri Jul 11 10:46:19 UTC 2025","Fri Jul 11 10:46:19 UTC 2025","172","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getSingleComment_withInvalidId_shouldHandleGracefully","get single comments with valid id [4] 1.5","/"
"passed","Fri Jul 11 10:46:05 UTC 2025","Fri Jul 11 10:46:05 UTC 2025","172","","com.restassuredapi.tests.photos.UpdatePhotoTest","","com.restassuredapi.tests.photos.UpdatePhotoTest","updatePhoto_withMalformedJson_shouldReturn400OrSimilar","update photo with malformed json","/"
"passed","Fri Jul 11 10:46:20 UTC 2025","Fri Jul 11 10:46:21 UTC 2025","193","","com.restassuredapi.tests.comments.CreateCommentTest","","com.restassuredapi.tests.comments.CreateCommentTest","createComment_withValidData_shouldReturn201AndValidFields","create comments with valid data","/"
"passed","Fri Jul 11 10:46:20 UTC 2025","Fri Jul 11 10:46:20 UTC 2025","184","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getComments_withInvalidPostIdQuery_shouldReturnEmptyListOr400","get comments with invalid post id","/"
"passed","Fri Jul 11 10:46:04 UTC 2025","Fri Jul 11 10:46:04 UTC 2025","169","","com.restassuredapi.tests.users.DeleteUserTest","","com.restassuredapi.tests.users.DeleteUserTest","deleteUser_withoutProvidingId_shouldReturn404","delete user without providing id","/"
"passed","Fri Jul 11 10:46:13 UTC 2025","Fri Jul 11 10:46:13 UTC 2025","106","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldMatchSchema","create post should match schema [1] Post{userId=1, id=0, title='First test post', body='This is the body of the first post'}","/"
"passed","Fri Jul 11 10:46:09 UTC 2025","Fri Jul 11 10:46:10 UTC 2025","191","","com.restassuredapi.tests.album.UpdateAlbumTest","","com.restassuredapi.tests.album.UpdateAlbumTest","updateAlbum_withValidData_shouldReturn200AndMatchSchema","update albums with valid data","/"
"passed","Fri Jul 11 10:46:11 UTC 2025","Fri Jul 11 10:46:11 UTC 2025","170","","com.restassuredapi.tests.posts.UpdatePostTest","","com.restassuredapi.tests.posts.UpdatePostTest","updatePost_withInvalidId_shouldReturnError","update post with invalid id","/"
"passed","Fri Jul 11 10:46:16 UTC 2025","Fri Jul 11 10:46:16 UTC 2025","125","","com.restassuredapi.tests.todos.GetTodosTest","","com.restassuredapi.tests.todos.GetTodosTest","getAllTodos_shouldReturn200AndExpectedSize","get all todo","/"
"passed","Fri Jul 11 10:46:13 UTC 2025","Fri Jul 11 10:46:13 UTC 2025","120","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldReturnCorrectFields","create post should return correct fields [4] Post{userId=4, id=0, title='', body='Body without a title'}","/"
"passed","Fri Jul 11 10:46:14 UTC 2025","Fri Jul 11 10:46:14 UTC 2025","110","","com.restassuredapi.tests.posts.GetPostsTest","","com.restassuredapi.tests.posts.GetPostsTest","getPost_withNonExistentId_shouldReturn404","get post with non existent id","/"
"passed","Fri Jul 11 10:46:04 UTC 2025","Fri Jul 11 10:46:04 UTC 2025","176","","com.restassuredapi.tests.users.DeleteUserTest","","com.restassuredapi.tests.users.DeleteUserTest","deleteUser_withNonExistentId_shouldStillReturn200OrSimilar","delete user with non existent id","/"
"passed","Fri Jul 11 10:46:18 UTC 2025","Fri Jul 11 10:46:18 UTC 2025","178","","com.restassuredapi.tests.comments.UpdateCommentTest","","com.restassuredapi.tests.comments.UpdateCommentTest","updateComment_shouldMatchResponseSchema","update comment should match response schema","/"
"passed","Fri Jul 11 10:46:16 UTC 2025","Fri Jul 11 10:46:17 UTC 2025","94","","com.restassuredapi.tests.todos.UpdateTodoTest","","com.restassuredapi.tests.todos.UpdateTodoTest","updateTodo_withMalformedJson_shouldReturn400OrSimilar","update todo with malformed json","/"
"passed","Fri Jul 11 10:46:15 UTC 2025","Fri Jul 11 10:46:15 UTC 2025","94","","com.restassuredapi.tests.todos.DeleteTodoTest","","com.restassuredapi.tests.todos.DeleteTodoTest","deleteTodo_withValidId_shouldReturn200AndEmptyBody","delete todo with valid id","/"
"passed","Fri Jul 11 10:46:08 UTC 2025","Fri Jul 11 10:46:08 UTC 2025","193","","com.restassuredapi.tests.photos.GetPhotosTest","","com.restassuredapi.tests.photos.GetPhotosTest","getPhotoByInvalidId_shouldReturn404","get photo by invalid id","/"
"passed","Fri Jul 11 10:46:15 UTC 2025","Fri Jul 11 10:46:15 UTC 2025","80","","com.restassuredapi.tests.posts.GetPostsTest","","com.restassuredapi.tests.posts.GetPostsTest","getSinglePost_withValidId_shouldReturnValidPost","get single post with valid id","/"
"passed","Fri Jul 11 10:46:05 UTC 2025","Fri Jul 11 10:46:05 UTC 2025","195","","com.restassuredapi.tests.photos.CreatePhotoTest","","com.restassuredapi.tests.photos.CreatePhotoTest","createPhoto_responseShouldMatchSchema","create photo should match schema","/"
"passed","Fri Jul 11 10:46:12 UTC 2025","Fri Jul 11 10:46:12 UTC 2025","167","","com.restassuredapi.tests.posts.DeletePostTest","","com.restassuredapi.tests.posts.DeletePostTest","deletePost_withoutId_shouldReturn404","delete post without id","/"
"passed","Fri Jul 11 10:46:17 UTC 2025","Fri Jul 11 10:46:18 UTC 2025","169","","com.restassuredapi.tests.comments.UpdateCommentTest","","com.restassuredapi.tests.comments.UpdateCommentTest","updateComment_withMalformedJson_shouldReturn400OrSimilar","update comments with malformed json","/"
"passed","Fri Jul 11 10:46:12 UTC 2025","Fri Jul 11 10:46:13 UTC 2025","122","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldReturnCorrectFields","create post should return correct fields [3] Post{userId=3, id=0, title='Edge case title', body=''}","/"
"failed","Fri Jul 11 10:46:02 UTC 2025","Fri Jul 11 10:46:02 UTC 2025","272","","com.restassuredapi.tests.users.UpdateUserTest","","com.restassuredapi.tests.users.UpdateUserTest","updateUser_withMissingName_shouldReturn400OrSimilar","update user with missing name","/"
"passed","Fri Jul 11 10:46:06 UTC 2025","Fri Jul 11 10:46:06 UTC 2025","188","","com.restassuredapi.tests.photos.UpdatePhotoTest","","com.restassuredapi.tests.photos.UpdatePhotoTest","updatePhoto_withValidData_shouldReturn200AndUpdatedFields","update photo with valid data","/"
"passed","Fri Jul 11 10:46:17 UTC 2025","Fri Jul 11 10:46:17 UTC 2025","165","","com.restassuredapi.tests.todos.UpdateTodoTest","","com.restassuredapi.tests.todos.UpdateTodoTest","updateTodo_withInvalidId_shouldReturn404OrSimilar","update todo with valid data","/"
"failed","Fri Jul 11 10:46:04 UTC 2025","Fri Jul 11 10:46:04 UTC 2025","181","","com.restassuredapi.tests.users.DeleteUserTest","","com.restassuredapi.tests.users.DeleteUserTest","deleteUser_withInvalidId_shouldReturn404Or400","delete user with invalid id","/"
"failed","Fri Jul 11 10:46:05 UTC 2025","Fri Jul 11 10:46:05 UTC 2025","163","","com.restassuredapi.tests.photos.CreatePhotoTest","","com.restassuredapi.tests.photos.CreatePhotoTest","createPhoto_withMissingTitle_shouldReturn400OrSimilar","create photos with missing title","/"
"passed","Fri Jul 11 10:46:15 UTC 2025","Fri Jul 11 10:46:15 UTC 2025","74","","com.restassuredapi.tests.posts.GetPostsTest","","com.restassuredapi.tests.posts.GetPostsTest","getPost_withQueryParam_shouldReturnFilteredPosts","get post with query param","/"
"passed","Fri Jul 11 10:46:08 UTC 2025","Fri Jul 11 10:46:09 UTC 2025","170","","com.restassuredapi.tests.album.DeleteAlbumTest","","com.restassuredapi.tests.album.DeleteAlbumTest","deleteAlbum_withValidId_shouldReturn200AndEmptyJsonBody","Delete album with Valid id","/"
"passed","Fri Jul 11 10:46:15 UTC 2025","Fri Jul 11 10:46:16 UTC 2025","187","","com.restassuredapi.tests.todos.CreateTodoTest","","com.restassuredapi.tests.todos.CreateTodoTest","createTodo_withValidData_shouldReturn201AndMatchSchema","create todo with valid data","/"
"passed","Fri Jul 11 10:46:04 UTC 2025","Fri Jul 11 10:46:04 UTC 2025","172","","com.restassuredapi.tests.users.DeleteUserTest","","com.restassuredapi.tests.users.DeleteUserTest","deleteUser_withValidId_shouldReturn200AndEmptyBody","delete user with valid data","/"
"passed","Fri Jul 11 10:46:01 UTC 2025","Fri Jul 11 10:46:02 UTC 2025","217","","com.restassuredapi.tests.users.GetUsersTest","","com.restassuredapi.tests.users.GetUsersTest","getUserById_validId_shouldReturnCorrectUser","get user with valid id","/"
"passed","Fri Jul 11 10:46:04 UTC 2025","Fri Jul 11 10:46:05 UTC 2025","135","","com.restassuredapi.tests.photos.CreatePhotoTest","","com.restassuredapi.tests.photos.CreatePhotoTest","createPhoto_withValidData_shouldReturn201AndCorrectFields","create photo with valid data","/"
"failed","Fri Jul 11 10:46:16 UTC 2025","Fri Jul 11 10:46:16 UTC 2025","73","","com.restassuredapi.tests.todos.GetTodosTest","","com.restassuredapi.tests.todos.GetTodosTest","getAllTodos_shouldMatchJsonSchema","get all todo to match with schema","/"
"passed","Fri Jul 11 10:46:01 UTC 2025","Fri Jul 11 10:46:01 UTC 2025","89","","com.restassuredapi.tests.users.GetUsersTest","","com.restassuredapi.tests.users.GetUsersTest","getUserById_invalidId_shouldReturn404","get user with invalid id","/"
"passed","Fri Jul 11 10:46:20 UTC 2025","Fri Jul 11 10:46:20 UTC 2025","99","","com.restassuredapi.tests.comments.CreateCommentTest","","com.restassuredapi.tests.comments.CreateCommentTest","createComment_withMalformedJson_shouldReturn400OrSimilar","create comments with malformed json","/"
"passed","Fri Jul 11 10:46:07 UTC 2025","Fri Jul 11 10:46:08 UTC 2025","1415","","com.restassuredapi.tests.photos.GetPhotosTest","","com.restassuredapi.tests.photos.GetPhotosTest","getAllPhotos_shouldReturn200AndListOfPhotos","get all photos","/"
"failed","Fri Jul 11 10:46:08 UTC 2025","Fri Jul 11 10:46:08 UTC 2025","76","","com.restassuredapi.tests.photos.GetPhotosTest","","com.restassuredapi.tests.photos.GetPhotosTest","getPhotoByNegativeId_shouldReturnEmptyObject","get photo by negative id","/"
"passed","Fri Jul 11 10:46:21 UTC 2025","Fri Jul 11 10:46:21 UTC 2025","104","","com.restassuredapi.tests.comments.DeleteCommentTest","","com.restassuredapi.tests.comments.DeleteCommentTest","deleteComment_withValidId_shouldReturnSuccessStatus","delete comments with valid data","/"
"failed","Fri Jul 11 10:46:02 UTC 2025","Fri Jul 11 10:46:03 UTC 2025","170","","com.restassuredapi.tests.users.UpdateUserTest","","com.restassuredapi.tests.users.UpdateUserTest","updateUser_withMalformedJson_shouldReturn400","update user with malformed json","/"
"passed","Fri Jul 11 10:46:12 UTC 2025","Fri Jul 11 10:46:12 UTC 2025","187","","com.restassuredapi.tests.posts.DeletePostTest","","com.restassuredapi.tests.posts.DeletePostTest","deletePost_withValidId_shouldReturn200AndEmptyBody","delete post with valid id","/"
"passed","Fri Jul 11 10:46:15 UTC 2025","Fri Jul 11 10:46:15 UTC 2025","67","","com.restassuredapi.tests.posts.GetPostsTest","","com.restassuredapi.tests.posts.GetPostsTest","getPost_withNegativeId_shouldReturn200Or404","get post with negative id","/"
"passed","Fri Jul 11 10:46:09 UTC 2025","Fri Jul 11 10:46:09 UTC 2025","80","","com.restassuredapi.tests.album.GetAlbumsTest","","com.restassuredapi.tests.album.GetAlbumsTest","getAlbumByValidId_shouldReturnAlbum","get albums by valid id","/"
"failed","Fri Jul 11 10:46:15 UTC 2025","Fri Jul 11 10:46:15 UTC 2025","100","","com.restassuredapi.tests.todos.CreateTodoTest","","com.restassuredapi.tests.todos.CreateTodoTest","createTodo_missingTitle_shouldReturn400OrSimilar","create todo with missing title","/"
"passed","Fri Jul 11 10:46:03 UTC 2025","Fri Jul 11 10:46:04 UTC 2025","210","","com.restassuredapi.tests.users.CreateUserTest","","com.restassuredapi.tests.users.CreateUserTest","createUser_withValidData_shouldReturn201AndValidResponse","create user with valid data","/"
"passed","Fri Jul 11 10:46:03 UTC 2025","Fri Jul 11 10:46:03 UTC 2025","202","","com.restassuredapi.tests.users.CreateUserTest","","com.restassuredapi.tests.users.CreateUserTest","createUser_withMalformedJson_shouldReturn400OrSimilar","create user with malformed json","/"
"passed","Fri Jul 11 10:46:14 UTC 2025","Fri Jul 11 10:46:15 UTC 2025","101","","com.restassuredapi.tests.posts.GetPostsTest","","com.restassuredapi.tests.posts.GetPostsTest","getAllPosts_shouldReturn200AndListOf100","get all post","/"
"failed","Fri Jul 11 10:46:06 UTC 2025","Fri Jul 11 10:46:06 UTC 2025","167","","com.restassuredapi.tests.photos.DeletePhotoTest","","com.restassuredapi.tests.photos.DeletePhotoTest","deletePhoto_withNegativeId_shouldReturn404","delete photo with negative id","/"
"broken","Fri Jul 11 10:46:12 UTC 2025","Fri Jul 11 10:46:12 UTC 2025","0","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_withMissingOrEmptyFields_shouldReturn400OrSimilar","create post with empty fields","/"
"passed","Fri Jul 11 10:46:16 UTC 2025","Fri Jul 11 10:46:16 UTC 2025","110","","com.restassuredapi.tests.todos.GetTodosTest","","com.restassuredapi.tests.todos.GetTodosTest","getTodoByInvalidIdFormat_shouldReturn404","get all todo by valid id","/"
"passed","Fri Jul 11 10:46:10 UTC 2025","Fri Jul 11 10:46:11 UTC 2025","187","","com.restassuredapi.tests.posts.UpdatePostTest","","com.restassuredapi.tests.posts.UpdatePostTest","updatePost_withMalformedJson_shouldReturn400OrSimilar","update post with malformed json","/"
"passed","Fri Jul 11 10:46:11 UTC 2025","Fri Jul 11 10:46:11 UTC 2025","185","","com.restassuredapi.tests.posts.UpdatePostTest","","com.restassuredapi.tests.posts.UpdatePostTest","updatePost_withValidData_shouldReturn200AndUpdatedPost","update post with valid data","/"
"passed","Fri Jul 11 10:46:17 UTC 2025","Fri Jul 11 10:46:17 UTC 2025","193","","com.restassuredapi.tests.todos.UpdateTodoTest","","com.restassuredapi.tests.todos.UpdateTodoTest","updateTodo_withMismatchedIds_shouldReturn400OrSimilar","update todo with mismatched ids","/"
"passed","Fri Jul 11 10:46:16 UTC 2025","Fri Jul 11 10:46:16 UTC 2025","105","","com.restassuredapi.tests.todos.GetTodosTest","","com.restassuredapi.tests.todos.GetTodosTest","getTodoByNonExistentId_shouldReturn404","get todo by non existent id","/"
"failed","Fri Jul 11 10:46:10 UTC 2025","Fri Jul 11 10:46:10 UTC 2025","173","","com.restassuredapi.tests.album.UpdateAlbumTest","","com.restassuredapi.tests.album.UpdateAlbumTest","updateAlbum_withMissingTitle_shouldReturn400OrSimilar","update albums with missing title","/"
"passed","Fri Jul 11 10:46:13 UTC 2025","Fri Jul 11 10:46:14 UTC 2025","163","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldReturn201Status","create post [2] Post{userId=2, id=0, title='Second test post', body='Another body content here'}","/"
"passed","Fri Jul 11 10:46:14 UTC 2025","Fri Jul 11 10:46:14 UTC 2025","166","","com.restassuredapi.tests.posts.GetPostsTest","","com.restassuredapi.tests.posts.GetPostsTest","getPost_withTrailingSlash_shouldReturn404","get post with trailing slash","/"
"passed","Fri Jul 11 10:46:13 UTC 2025","Fri Jul 11 10:46:13 UTC 2025","98","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldMatchSchema","create post should match schema [4] Post{userId=4, id=0, title='', body='Body without a title'}","/"
