"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 10:46:10 UTC 2025","Fri Jul 11 10:46:10 UTC 2025","166","","com.restassuredapi.tests.album.CreateAlbumTest","","com.restassuredapi.tests.album.CreateAlbumTest","createAlbum_withMissingTitle_shouldBeHandledGracefullyEvenIfAPIDoesNotValidate","Album with Missing title","/"
"passed","Fri Jul 11 10:46:11 UTC 2025","Fri Jul 11 10:46:12 UTC 2025","162","","com.restassuredapi.tests.posts.DeletePostTest","","com.restassuredapi.tests.posts.DeletePostTest","deletePost_withNonExistentId_shouldReturn200AndEmptyBody","delete post with non existent id","/"
"passed","Fri Jul 11 10:46:19 UTC 2025","Fri Jul 11 10:46:19 UTC 2025","69","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getSingleComment_withInvalidId_shouldHandleGracefully","get single comments with valid id [1] -1","/"
"failed","Fri Jul 11 10:46:03 UTC 2025","Fri Jul 11 10:46:03 UTC 2025","107","","com.restassuredapi.tests.users.UpdateUserTest","","com.restassuredapi.tests.users.UpdateUserTest","updateUser_withExcessivelyLongName_shouldReturn400OrSimilar","update user with excessively long name","/"
"passed","Fri Jul 11 10:46:16 UTC 2025","Fri Jul 11 10:46:16 UTC 2025","191","","com.restassuredapi.tests.todos.UpdateTodoTest","","com.restassuredapi.tests.todos.UpdateTodoTest","updateTodo_withValidData_shouldReturn200AndMatchSchema","update todo with valid data","/"
"passed","Fri Jul 11 10:46:11 UTC 2025","Fri Jul 11 10:46:11 UTC 2025","167","","com.restassuredapi.tests.posts.UpdatePostTest","","com.restassuredapi.tests.posts.UpdatePostTest","updatePost_withEmptyBody_shouldReturn200AndDefaultResponse","update post with empty body","/"
"failed","Fri Jul 11 10:46:11 UTC 2025","Fri Jul 11 10:46:11 UTC 2025","202","","com.restassuredapi.tests.posts.UpdatePostTest","","com.restassuredapi.tests.posts.UpdatePostTest","updatePost_withNonExistentId_shouldReturn200AndReflectUpdate","update post with non existent id","/"
"passed","Fri Jul 11 10:46:21 UTC 2025","Fri Jul 11 10:46:21 UTC 2025","94","","com.restassuredapi.tests.comments.DeleteCommentTest","","com.restassuredapi.tests.comments.DeleteCommentTest","deleteComment_withNonExistentId_shouldStillReturn200OrSimilar","delete comment with wrong id","/"
"failed","Fri Jul 11 10:46:15 UTC 2025","Fri Jul 11 10:46:15 UTC 2025","97","","com.restassuredapi.tests.todos.DeleteTodoTest","","com.restassuredapi.tests.todos.DeleteTodoTest","deleteTodo_withZeroOrNegativeId_shouldReturn400OrSimilar","delete todo with zero or negative id","/"
"passed","Fri Jul 11 10:46:15 UTC 2025","Fri Jul 11 10:46:15 UTC 2025","102","","com.restassuredapi.tests.posts.GetPostsTest","","com.restassuredapi.tests.posts.GetPostsTest","getPost_withInvalidId_shouldReturn404","get post with invalid id","/"
"passed","Fri Jul 11 10:46:08 UTC 2025","Fri Jul 11 10:46:08 UTC 2025","173","","com.restassuredapi.tests.album.DeleteAlbumTest","","com.restassuredapi.tests.album.DeleteAlbumTest","deleteAlbum_withInvalidId_shouldReturn200WithEmptyJsonBody","Delete album with Invalid id","/"
"passed","Fri Jul 11 10:46:19 UTC 2025","Fri Jul 11 10:46:19 UTC 2025","83","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getSingleComment_withValidId_shouldReturnCorrectComment","get single comment with valid id","/"
"passed","Fri Jul 11 10:46:05 UTC 2025","Fri Jul 11 10:46:05 UTC 2025","192","","com.restassuredapi.tests.photos.CreatePhotoTest","","com.restassuredapi.tests.photos.CreatePhotoTest","createPhoto_withMalformedJson_shouldReturn400OrSimilar","create photos with malformed json","/"
"passed","Fri Jul 11 10:46:18 UTC 2025","Fri Jul 11 10:46:18 UTC 2025","183","","com.restassuredapi.tests.comments.UpdateCommentTest","","com.restassuredapi.tests.comments.UpdateCommentTest","updateComment_withValidData_shouldReturn200AndUpdatedValues","update comments with valid data","/"
"passed","Fri Jul 11 10:46:09 UTC 2025","Fri Jul 11 10:46:09 UTC 2025","118","","com.restassuredapi.tests.album.GetAlbumsTest","","com.restassuredapi.tests.album.GetAlbumsTest","getAllAlbums_shouldReturn200AndValidList","get all albums","/"
"passed","Fri Jul 11 10:46:12 UTC 2025","Fri Jul 11 10:46:12 UTC 2025","92","","com.restassuredapi.tests.posts.DeletePostTest","","com.restassuredapi.tests.posts.DeletePostTest","deletePost_withNegativeId_shouldReturn200Or404","delete post with negative id","/"
"failed","Fri Jul 11 10:46:17 UTC 2025","Fri Jul 11 10:46:17 UTC 2025","184","","com.restassuredapi.tests.comments.UpdateCommentTest","","com.restassuredapi.tests.comments.UpdateCommentTest","updateComment_withEmptyPayload_shouldReturn400OrSimilar","update comment with empty payload","/"
"failed","Fri Jul 11 10:46:03 UTC 2025","Fri Jul 11 10:46:03 UTC 2025","185","","com.restassuredapi.tests.users.UpdateUserTest","","com.restassuredapi.tests.users.UpdateUserTest","updateUser_withNonExistentId_shouldReturn404OrSimilar","update user with non existent id","/"
"passed","Fri Jul 11 10:46:19 UTC 2025","Fri Jul 11 10:46:20 UTC 2025","196","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getSingleComment_withInvalidId_shouldHandleGracefully","get single comments with valid id [5] @$%","/"
"passed","Fri Jul 11 10:46:10 UTC 2025","Fri Jul 11 10:46:10 UTC 2025","186","","com.restassuredapi.tests.album.CreateAlbumTest","","com.restassuredapi.tests.album.CreateAlbumTest","createAlbum_withMalformedJson_shouldReturn400OrSimilar","Album with Malformed Json","/"
"passed","Fri Jul 11 10:46:18 UTC 2025","Fri Jul 11 10:46:19 UTC 2025","215","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getAllComments_shouldReturn200AndValidList","get all comments","/"
"passed","Fri Jul 11 10:46:06 UTC 2025","Fri Jul 11 10:46:06 UTC 2025","168","","com.restassuredapi.tests.photos.DeletePhotoTest","","com.restassuredapi.tests.photos.DeletePhotoTest","deletePhoto_withValidId_shouldReturn200AndEmptyBody","delete photo with valid data","/"
"passed","Fri Jul 11 10:46:12 UTC 2025","Fri Jul 11 10:46:12 UTC 2025","105","","com.restassuredapi.tests.posts.DeletePostTest","","com.restassuredapi.tests.posts.DeletePostTest","deletePost_withInvalidId_shouldReturn200AndEmptyObject","delete post with invalid id","/"
"passed","Fri Jul 11 10:46:18 UTC 2025","Fri Jul 11 10:46:18 UTC 2025","71","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getCommentsByPostId_shouldReturnFilteredComments","get comments by post id","/"
"passed","Fri Jul 11 10:46:18 UTC 2025","Fri Jul 11 10:46:18 UTC 2025","68","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getSingleComment_withNonExistentId_shouldReturn404","get single comments with wrong id","/"
"passed","Fri Jul 11 10:46:13 UTC 2025","Fri Jul 11 10:46:13 UTC 2025","167","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldMatchSchema","create post should match schema [3] Post{userId=3, id=0, title='Edge case title', body=''}","/"
"passed","Fri Jul 11 10:46:03 UTC 2025","Fri Jul 11 10:46:03 UTC 2025","174","","com.restassuredapi.tests.users.CreateUserTest","","com.restassuredapi.tests.users.CreateUserTest","createUser_withMissingRequiredFields_shouldReturn400OrSimilar","create user with missing required fields","/"
"passed","Fri Jul 11 10:46:19 UTC 2025","Fri Jul 11 10:46:19 UTC 2025","201","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getSingleComment_withInvalidId_shouldHandleGracefully","get single comments with valid id [3] abc","/"
"passed","Fri Jul 11 10:46:12 UTC 2025","Fri Jul 11 10:46:12 UTC 2025","208","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldReturnCorrectFields","create post should return correct fields [1] Post{userId=1, id=0, title='First test post', body='This is the body of the first post'}","/"
"failed","Fri Jul 11 10:46:17 UTC 2025","Fri Jul 11 10:46:17 UTC 2025","198","","com.restassuredapi.tests.todos.UpdateTodoTest","","com.restassuredapi.tests.todos.UpdateTodoTest","updateTodo_withEmptyPayload_shouldReturn400OrSimilar","update todo with empty payload","/"
"passed","Fri Jul 11 10:46:17 UTC 2025","Fri Jul 11 10:46:17 UTC 2025","169","","com.restassuredapi.tests.todos.UpdateTodoTest","","com.restassuredapi.tests.todos.UpdateTodoTest","updateTodo_withMissingTitle_shouldReturn400OrSimilar","update todo with missing title","/"
"passed","Fri Jul 11 10:46:16 UTC 2025","Fri Jul 11 10:46:16 UTC 2025","64","","com.restassuredapi.tests.todos.GetTodosTest","","com.restassuredapi.tests.todos.GetTodosTest","getTodoByValidId_shouldMatchSchema","get all todo by valid id to mactch the schema","/"
"passed","Fri Jul 11 10:46:09 UTC 2025","Fri Jul 11 10:46:09 UTC 2025","170","","com.restassuredapi.tests.album.GetAlbumsTest","","com.restassuredapi.tests.album.GetAlbumsTest","getAlbumByInvalidId_shouldReturn404OrEmptyObjectWith200","get albums by invalid id","/"
"passed","Fri Jul 11 10:46:06 UTC 2025","Fri Jul 11 10:46:06 UTC 2025","200","","com.restassuredapi.tests.photos.DeletePhotoTest","","com.restassuredapi.tests.photos.DeletePhotoTest","deletePhoto_withNonNumericId_shouldReturn200WithEmptyBody","delete photo with non numeric id","/"
"passed","Fri Jul 11 10:46:21 UTC 2025","Fri Jul 11 10:46:21 UTC 2025","160","","com.restassuredapi.tests.comments.DeleteCommentTest","","com.restassuredapi.tests.comments.DeleteCommentTest","deleteComment_withInvalidIdFormat_shouldReturn200OnMockAPI","delete comment with valid format","/"
"passed","Fri Jul 11 10:46:03 UTC 2025","Fri Jul 11 10:46:03 UTC 2025","158","","com.restassuredapi.tests.users.UpdateUserTest","","com.restassuredapi.tests.users.UpdateUserTest","updateUser_withValidData_shouldReturn200AndUpdatedFields","update user with valid data","/"
"passed","Fri Jul 11 10:46:10 UTC 2025","Fri Jul 11 10:46:10 UTC 2025","183","","com.restassuredapi.tests.album.CreateAlbumTest","","com.restassuredapi.tests.album.CreateAlbumTest","createAlbum_withValidData_shouldReturn201AndMatchSchema","Album with Valid Data","/"
"passed","Fri Jul 11 10:46:15 UTC 2025","Fri Jul 11 10:46:15 UTC 2025","159","","com.restassuredapi.tests.todos.DeleteTodoTest","","com.restassuredapi.tests.todos.DeleteTodoTest","deleteTodo_withInvalidId_shouldReturn200Or404","delete todo with invalid id","/"
"passed","Fri Jul 11 10:46:20 UTC 2025","Fri Jul 11 10:46:20 UTC 2025","167","","com.restassuredapi.tests.comments.CreateCommentTest","","com.restassuredapi.tests.comments.CreateCommentTest","createComment_withEmptyPayload_shouldReturn400OrSimilar","create comments with empty payload","/"
"passed","Fri Jul 11 10:46:02 UTC 2025","Fri Jul 11 10:46:02 UTC 2025","178","","com.restassuredapi.tests.users.GetUsersTest","","com.restassuredapi.tests.users.GetUsersTest","getUserById_invalidPath_shouldReturn404","get user with invalid path","/"
"passed","Fri Jul 11 10:46:05 UTC 2025","Fri Jul 11 10:46:05 UTC 2025","176","","com.restassuredapi.tests.photos.UpdatePhotoTest","","com.restassuredapi.tests.photos.UpdatePhotoTest","updatePhoto_responseShouldMatchSchema","update photo response match with schema","/"
"passed","Fri Jul 11 10:46:16 UTC 2025","Fri Jul 11 10:46:16 UTC 2025","81","","com.restassuredapi.tests.todos.GetTodosTest","","com.restassuredapi.tests.todos.GetTodosTest","getTodoByValidId_shouldReturnTodo","get all todo by valid id","/"
"passed","Fri Jul 11 10:46:09 UTC 2025","Fri Jul 11 10:46:09 UTC 2025","182","","com.restassuredapi.tests.album.GetAlbumsTest","","com.restassuredapi.tests.album.GetAlbumsTest","getAlbumWithNegativeId_shouldReturn404","get albums with negative id","/"
"failed","Fri Jul 11 10:46:09 UTC 2025","Fri Jul 11 10:46:09 UTC 2025","170","","com.restassuredapi.tests.album.UpdateAlbumTest","","com.restassuredapi.tests.album.UpdateAlbumTest","updateAlbum_withInvalidId_shouldReturn404OrEmptyResponse","update albums with invalid id","/"
"failed","Fri Jul 11 10:46:18 UTC 2025","Fri Jul 11 10:46:18 UTC 2025","169","","com.restassuredapi.tests.comments.UpdateCommentTest","","com.restassuredapi.tests.comments.UpdateCommentTest","updateComment_withNonExistentId_shouldReturn200_butNotActuallyUpdateAnything","update comments with not existent id","/"
"passed","Fri Jul 11 10:46:16 UTC 2025","Fri Jul 11 10:46:16 UTC 2025","93","","com.restassuredapi.tests.todos.CreateTodoTest","","com.restassuredapi.tests.todos.CreateTodoTest","createTodo_withMalformedJson_shouldReturn400OrSimilar","create todo with malformed json","/"
"passed","Fri Jul 11 10:46:02 UTC 2025","Fri Jul 11 10:46:02 UTC 2025","214","","com.restassuredapi.tests.users.UpdateUserTest","","com.restassuredapi.tests.users.UpdateUserTest","updateUser_withValidData_shouldReturn200","update user with valid data returns 200","/"
"passed","Fri Jul 11 10:46:14 UTC 2025","Fri Jul 11 10:46:14 UTC 2025","160","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldReturn201Status","create post [3] Post{userId=3, id=0, title='Edge case title', body=''}","/"
"passed","Fri Jul 11 10:46:13 UTC 2025","Fri Jul 11 10:46:13 UTC 2025","163","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldReturn201Status","create post [1] Post{userId=1, id=0, title='First test post', body='This is the body of the first post'}","/"
"passed","Fri Jul 11 10:46:14 UTC 2025","Fri Jul 11 10:46:14 UTC 2025","157","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldReturn201Status","create post [4] Post{userId=4, id=0, title='', body='Body without a title'}","/"
"passed","Fri Jul 11 10:46:02 UTC 2025","Fri Jul 11 10:46:02 UTC 2025","89","","com.restassuredapi.tests.users.GetUsersTest","","com.restassuredapi.tests.users.GetUsersTest","validateUserResponseSchema_shouldMatchJsonSchema","get user response schema","/"
"passed","Fri Jul 11 10:46:12 UTC 2025","Fri Jul 11 10:46:12 UTC 2025","108","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_shouldReturnCorrectFields","create post should return correct fields [2] Post{userId=2, id=0, title='Second test post', body='Another body content here'}","/"
"passed","Fri Jul 11 10:46:20 UTC 2025","Fri Jul 11 10:46:20 UTC 2025","176","","com.restassuredapi.tests.comments.CreateCommentTest","","com.restassuredapi.tests.comments.CreateCommentTest","createComment_withMissingFields_shouldReturn400OrSimilar","create comment with missing fields","/"
"passed","Fri Jul 11 10:46:18 UTC 2025","Fri Jul 11 10:46:18 UTC 2025","65","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getSingleComment_shouldMatchJsonSchema","get single comment should match json","/"
"passed","Fri Jul 11 10:46:00 UTC 2025","Fri Jul 11 10:46:01 UTC 2025","1662","","com.restassuredapi.tests.users.GetUsersTest","","com.restassuredapi.tests.users.GetUsersTest","getAllUsers_shouldReturn200AndValidList","get all users","/"
"passed","Fri Jul 11 10:46:19 UTC 2025","Fri Jul 11 10:46:19 UTC 2025","66","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getSingleComment_withInvalidId_shouldHandleGracefully","get single comments with valid id [2] 0","/"
"passed","Fri Jul 11 10:46:20 UTC 2025","Fri Jul 11 10:46:20 UTC 2025","177","","com.restassuredapi.tests.comments.CreateCommentTest","","com.restassuredapi.tests.comments.CreateCommentTest","createComment_withValidData_shouldMatchJsonSchema","create comment with valid data should match schema","/"
"passed","Fri Jul 11 10:46:19 UTC 2025","Fri Jul 11 10:46:19 UTC 2025","173","","com.restassuredapi.tests.comments.GetCommentsTest","","com.restassuredapi.tests.comments.GetCommentsTest","getComments_withUnusedPostId_shouldReturnEmptyArray","get comments with unused post id","/"
"failed","Fri Jul 11 10:46:14 UTC 2025","Fri Jul 11 10:46:14 UTC 2025","163","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_withEmptyPayload_shouldReturn400OrSimilar","create post with empty payload","/"
"passed","Fri Jul 11 10:46:14 UTC 2025","Fri Jul 11 10:46:14 UTC 2025","159","","com.restassuredapi.tests.posts.CreatePostTest","","com.restassuredapi.tests.posts.CreatePostTest","createPost_withMalformedJson_shouldReturn400OrSimilar","create post with malformed json","/"
"passed","Fri Jul 11 10:46:09 UTC 2025","Fri Jul 11 10:46:09 UTC 2025","73","","com.restassuredapi.tests.album.GetAlbumsTest","","com.restassuredapi.tests.album.GetAlbumsTest","getAlbumByZeroId_shouldReturn404OrEmptyResponse","get all albums","/"
